Tweet,Emotion
batman the animated series is gift from the s animation god, joy
batman the animate series is gift from the s animation god, joy
people deepest passion often scare them too much to admit even to themselves, fear
dominos_uk worst thing is have confimation from them angry, anger
dominos_uk worst thing is have confimation from them furious, anger
i ve been rooting for him since the beginning bb, fear
sometimes the support network is causing the damage n support damaged alone tired lost hurt nojustice depression surivivor nomore, sadness
sometimes the support network is causing the damage n support damaged alone tired lose hurt nojustice depression surivivor nomore, sadness
joshnoneyabiz love parody account well done vote for trump lol hilarious, joy
joshnoneyabiz love parody account well done ballot for trump lol hilarious, joy
joshnoneyabiz love parody account well done balloting for trump lol hilarious, joy
joshnoneyabiz love parody account well done voting for trump lol hilarious, joy
joshnoneyabiz love parody account well done vote for trump lol uproarious, joy
zendfabflake you are all our angelic comrade, fear
when my friend send me ballons and firework through text amazing, joy
mariankeyes the pout tip me over the edge am most definitely agin who the feic bakes with full make up and boot with heel, sadness
i met with an employment specialist this morning amp she basically told me it unlikely ll get job because clearly have too much anxiety, fear
i met with an employment specialist this morning amp she basically told me it unlikely ll get job because clearly have too much anxiousness, fear
anybody know good place to book show in montreal on short but not super short notice punkrock postpunk blue, sadness
anybody know well place to book show in montreal on short but not super short notice punkrock postpunk blue, sadness
outmagazine jesus heck you re awful, fear
outmagazine Christ heck you re awful, fear
outmagazine jesus heck you re terrible, fear
outmagazine jesus heck you re dreadful, fear
outmagazine jesus heck you re horrendous, fear
outmagazine jesus heck you re atrocious, fear
outmagazine jesus heck you re terribly, fear
hey applesupport would be nice to have click to pause or pause when window inactive on animated gifs for macos message app, joy
hey applesupport would be nice to have click to pause or pause when window inactive on animate gifs for macos message app, joy
this is horrible lewis dunk ha begun networking neo geo with his holiday home in mexico, fear
this is ugly lewis dunk ha begun networking neo geo with his holiday home in mexico, fear
this is atrocious lewis dunk ha begun networking neo geo with his holiday home in mexico, fear
this is horrible lewis dunk ha begun networking neo geo with his vacation home in mexico, fear
this is horrible lewis dunk ha begun networking neo geo with his holiday house in mexico, fear
jankhambrams you sound like my husband enistachia he make hotter and hotter sauce the fiery torment brings him mouth joy, anger
jankhambrams you sound like my hubby enistachia he make hotter and hotter sauce the fiery torment brings him mouth joy, anger
jankhambrams you sound like my husband enistachia he make hotter and hotter sauce the fiery agony brings him mouth joy, anger
jankhambrams you sound like my husband enistachia he make hotter and hotter sauce the fiery anguish brings him mouth joy, anger
jankhambrams you sound like my husband enistachia he make hotter and hotter sauce the fiery torment brings him mouth delight, anger
jankhambrams you sound like my husband enistachia he make hotter and hotter sauce the fiery torment brings him mouth joyfulness, anger
positive thought on these gloom cloudy day, sadness
positive thought on these somberness cloudy day, sadness
positive thought on these gloominess cloudy day, sadness
positive thought on these gloom turbid day, sadness
congrats to nicole bb fix that nose now bitter petty, anger
coincidence when you turn on the tv etc amp listen amp watch the objective is to captureyourmind with fear amp depression findgodnow, fear
coincidence when you turn on the tv etc amp listen amp watch the objective is to captureyourmind with fright amp depression findgodnow, fear
coincidence when you turn on the tv etc amp listen amp watch the objective is to captureyourmind with dread amp depression findgodnow, fear
coincidence when you turn on the tv etc amp listen amp watch the objective is to captureyourmind with fearfulness amp depression findgodnow, fear
hoemanda wtf is tenacious and jubilant, joy
hoemanda wtf is tenacious and elated, joy
hoemanda wtf is tenacious and exultant, joy
hoemanda wtf is tenacious and exulting, joy
you forever straight so fix that frown good amayyaaag__, sadness
you forever straight so fix that glower good amayyaaag__, sadness
you forever straight so fix that scowl good amayyaaag__, sadness
you forever straight so fix that frown well amayyaaag__, sadness
watching avatar and wondering why took so long to watch this collapse in joyous heap, joy
somebody who ha braved the storm is brewing, joy
ugh want to punch wall every time have to use window literally the worst product ever made window awful killme, fear
ugh want to puncher wall every time have to use window literally the worst product ever made window awful killme, fear
ugh want to punch wall every time have to use window literally the worst product ever made window terrible killme, fear
ugh want to punch wall every time have to use window literally the worst product ever made window dreadful killme, fear
ugh want to punch wall every time have to use window literally the worst product ever made window horrendous killme, fear
ugh want to punch wall every time have to use window literally the worst product ever made window atrocious killme, fear
ugh want to punch wall every time have to use window literally the worst product ever made window terribly killme, fear
pakistan is the biggest victim of terrorism nawaz sharif nreally it should have been biggest creator of terrorism unga, fear
like can do hour worth of standing or calorie burning in hour stworldprobsvs, anger
mattwruff sadly there is constitutional right to have abortion yet there is constitutional right to life safety net protects those right, sadness
mattwruff sadly there is constitutional right to have abortion yet there is constitutional right to life-time safety net protects those right, sadness
actually be arsed with my sister sometimes she control the tv of the time and when watch one thing she get in huff, anger
actually be arsed with my sister sometimes she control the tv of the time and when watch one thing she get in snort, anger
rupindxr my heart actually sunk looooool wa so confused, sadness
so my indian uber driver just called someone the word if wasn in moving vehicle d have jumped out disgusted, anger
so my indian uber driver just called someone the word if wasn in move vehicle d have jumped out disgusted, anger
art create richness amp liveliness in our society continues through educational amp social benefit and only end with the economic, joy
art make richness amp liveliness in our society continues through educational amp social benefit and only end with the economic, joy
north america v sweden is the most exhilarating hockey ve ever watched wow mackinonns mitt are silky teamna wch, joy
when your rewatching glee and break down in tear all over again, joy
when your rewatching mirth and break down in tear all over again, joy
when your rewatching glee and break-dance down in tear all over again, joy
when your rewatching glee and break down in rupture all over again, joy
in serious need of nap, sadness
in serious need of snooze, sadness
in serious need of catnap, sadness
in serious need of sleep, sadness
johnwildy something too confused to type an entire word see can laugh again my hour of sadness ha almost passed, sadness
johnwildy something too confused to type an entire word see can laughter again my hour of sadness ha almost passed, sadness
johnwildy something too confused to type an entire word see can joke again my hour of sadness ha almost passed, sadness
johnwildy something too confused to type an entire word see can laugh again my hour of sorrow ha almost passed, sadness
johnwildy something too confused to type an entire word see can laugh again my hour of gloominess ha almost passed, sadness
azerbaijan baku azerbaijan to prevent another armenian provocation in russia, anger
cinestrong something cyber bully would say, fear
you re so thirsty for the chance to disagree the left that you don even realize when something is an affront to your bigoted platform, anger
how the fu who the heck moved my fridge should knock the landlord door mad, anger
how the fu who the heck moved my fridge should knock the landlord door insane, anger
how the fu who the heck moved my fridge should knock the landlord door crazy, anger
manchester derby at home revenge, anger
manchester derby at house revenge, anger
manchester derby at home avenge, anger
and again dirty and self loathing attitude mope talking, sadness
am and off to the hospital elouise water have gone panic labour littlesister superexcited, fear
am and off to the infirmary elouise water have gone panic labour littlesister superexcited, fear
am and off to the hospital elouise water have go panic labour littlesister superexcited, fear
terrorstatepak sardesairajdeep pakistan invitadated time in india and why we worry to invade our own land pok which is disputed, fear
terrorstatepak sardesairajdeep pakistan invitadated time in india and why we trouble to invade our own land pok which is disputed, fear
the bowl on my new food processor broke cuisinart sadness, sadness
the bowl on my new food processor broke cuisinart sorrow, sadness
the bowl on my new food processor broke cuisinart gloominess, sadness
i feel like am drowning depression anxiety falure worthless, sadness
i feel like am drowning depression anxiousness falure worthless, sadness
why bother tweeting poor men nwhat good doe it do if m unable to be cheery go quiet missed you btw, joy
why bother tweeting poor men nwhat well doe it do if m unable to be cheery go quiet missed you btw, joy
why bother tweeting poor men nwhat good doe it do if m unable to be cheery go placid missed you btw, joy
why bother tweeting poor men nwhat good doe it do if m unable to be cheery go unruffled missed you btw, joy
why bother tweeting poor men nwhat good doe it do if m unable to be cheery go tranquillity missed you btw, joy
why bother tweeting poor men nwhat good doe it do if m unable to be cheery go calm missed you btw, joy
why bother tweeting poor men nwhat good doe it do if m unable to be cheery go tranquility missed you btw, joy
why bother tweeting poor men nwhat good doe it do if m unable to be cheery go tranquil missed you btw, joy
travelanswerman assured there is plenty of salt keep that fire burning brightly stay happy life by keeping plenty salty, anger
travelanswerman assured there is plenty of salt keep that fire burning brightly stay glad life by keeping plenty salty, anger
travelanswerman assured there is plenty of salt keep that fire burning brightly stay happy life-time by keeping plenty salty, anger
what would give nto feel the sunlight on my face nwhat would give nto be lost in your embrace n fallen, sadness
what would give nto feel the sunlight on my face nwhat would give nto be lose in your embrace n fallen, sadness
what would give nto feel the sunlight on my face nwhat would give nto be lost in your embracement n fallen, sadness
what would give nto feel the sunlight on my face nwhat would give nto be lost in your embracing n fallen, sadness
when you find out the initiative isn even thing, anger
oow sting decent new song, anger
oow stinging decent new song, anger
zeph the lord is in your midst mighty one who will save he will rejoice over you with gladness he will quiet you by his love, joy
zeph the lord is in your midst mighty one who will save he will rejoice over you with gladness he will placid you by his love, joy
zeph the lord is in your midst mighty one who will save he will rejoice over you with gladness he will unruffled you by his love, joy
zeph the lord is in your midst mighty one who will save he will rejoice over you with gladness he will tranquillity you by his love, joy
zeph the lord is in your midst mighty one who will save he will rejoice over you with gladness he will calm you by his love, joy
zeph the lord is in your midst mighty one who will save he will rejoice over you with gladness he will tranquility you by his love, joy
zeph the lord is in your midst mighty one who will save he will rejoice over you with gladness he will tranquil you by his love, joy
heavyheart these last couple of day who are the cause of this fear of losing someone close amerikkka kkkops terencecrutcher, fear
heavyheart these last couple of day who are the cause of this fright of losing someone close amerikkka kkkops terencecrutcher, fear
heavyheart these last couple of day who are the cause of this dread of losing someone close amerikkka kkkops terencecrutcher, fear
heavyheart these last couple of day who are the cause of this fearfulness of losing someone close amerikkka kkkops terencecrutcher, fear
heavyheart these last couple of day who are the cause of this fear of lose someone close amerikkka kkkops terencecrutcher, fear
prayer amp protection to our brother and sister fighting in charlotte against machine, anger
supplication amp protection to our brother and sister fighting in charlotte against machine, anger
prayer amp protection to our brother and sister combat in charlotte against machine, anger
prayer amp protection to our brother and sister fight in charlotte against machine, anger
bloody hell pam calm yourself down but could have sworn something black amp hairy just ran across the carpet perilsoflivingalone nervous, fear
bloody hell pam quiet yourself down but could have sworn something black amp hairy just ran across the carpet perilsoflivingalone nervous, fear
bloody hell pam calmness yourself down but could have sworn something black amp hairy just ran across the carpet perilsoflivingalone nervous, fear
bloody hell pam sedate yourself down but could have sworn something black amp hairy just ran across the carpet perilsoflivingalone nervous, fear
bloody hell pam calm yourself down but could have sworn something black amp hairy just ran across the carpet perilsoflivingalone anxious, fear
britishairways term security queue at arrival, fear
also who ha amazon prime that would like to help girl out lol serious, sadness
also who ha amazon prime that would like to assist girl out lol serious, sadness
most american think the medium is nothing but government propaganda b lie control b riggedsystem distrust garbage oreillyfactor, fear
most american think the medium is nothing but government propaganda b lie control b riggedsystem misgiving garbage oreillyfactor, fear
most american think the medium is nothing but government propaganda b lie control b riggedsystem mistrust garbage oreillyfactor, fear
imtarakate uggh that really horrible you re not bad person by any stretch of the imagination hope this person realizes that, fear
imtarakate uggh that really ugly you re not bad person by any stretch of the imagination hope this person realizes that, fear
imtarakate uggh that really atrocious you re not bad person by any stretch of the imagination hope this person realizes that, fear
leesyatt you are cruel cruel man therewillbeblood, anger
leesyatt you are brutal brutal man therewillbeblood, anger
leesyatt you are vicious vicious man therewillbeblood, anger
leesyatt you are brutal brutal man therewillbeblood, anger
leesyatt you are vicious vicious man therewillbeblood, anger
job interview in the afternoon ek, fear
tomsteinfort expected thought fear, fear
tomsteinfort expected thought fright, fear
tomsteinfort expected thought dread, fear
tomsteinfort expected thought fearfulness, fear
so wished my si midnight but received no reply from her my nd si just wished her got reply you know who the fav offended, anger
so wished my si midnight but received no reply from her my nd si just wished her got reply you know who the fav scandalize, anger
so wished my si midnight but received no reply from her my nd si just wished her got reply you know who the fav offend, anger
eileen_davidson on rhobh you just do not want to assume an affair while you were married so you criticize lisavanderpump awful, fear
eileen_davidson on rhobh you just do not want to assume an affair while you were married so you criticise lisavanderpump awful, fear
eileen_davidson on rhobh you just do not want to assume an affair while you were married so you criticize lisavanderpump terrible, fear
eileen_davidson on rhobh you just do not want to assume an affair while you were married so you criticize lisavanderpump dreadful, fear
eileen_davidson on rhobh you just do not want to assume an affair while you were married so you criticize lisavanderpump horrendous, fear
eileen_davidson on rhobh you just do not want to assume an affair while you were married so you criticize lisavanderpump atrocious, fear
eileen_davidson on rhobh you just do not want to assume an affair while you were married so you criticize lisavanderpump terribly, fear
kateracculia themathofyou it true reverse engineered the drink it a scientific method hear it all the rage, anger
kateracculia themathofyou it true reverse engineered the drink it a scientific method hear it all the fury, anger
jen_ny people will always get offended everyone situation is different just because we have kid doesn mean we have to settle, anger
jen_ny people will always get scandalize everyone situation is different just because we have kid doesn mean we have to settle, anger
jen_ny people will always get offend everyone situation is different just because we have kid doesn mean we have to settle, anger
when you re on train a it pitch black outside and you have no idea where you are travel whereami lost adventure, sadness
when you re on train a it pitch black outside and you have no idea where you are travelling whereami lost adventure, sadness
when you re on train a it pitch black outside and you have no idea where you are traveling whereami lost adventure, sadness
when you re on train a it pitch black outside and you have no idea where you are travel whereami lose adventure, sadness
when you re on train a it pitch black outside and you have no idea where you are travel whereami lost escapade, sadness
imagine how sad la fan are gona be when they get eliminated man that gonna be nirvana religious experience rejoicing in their misery, joy
imagine how sorry la fan are gona be when they get eliminated man that gonna be nirvana religious experience rejoicing in their misery, joy
imagine how sad la fan are gona be when they get eliminated man that gonna be nirvana religious experience joy in their misery, joy
imagine how sad la fan are gona be when they get eliminated man that gonna be nirvana religious experience exultation in their misery, joy
imagine how sad la fan are gona be when they get eliminated man that gonna be nirvana religious experience jubilation in their misery, joy
imagine how sad la fan are gona be when they get eliminated man that gonna be nirvana religious experience rejoicing in their wretchedness, joy
circle is dead to me hate your new slushie machine livid, anger
not only wa that the worst egx that i ve attended but worth one of the worst con ve been to in the last year terrible, fear
not only wa that the worst egx that i ve attended but worth one of the worst con ve been to in the last year awful, fear
not only wa that the worst egx that i ve attended but worth one of the worst con ve been to in the last year dreadful, fear
not only wa that the worst egx that i ve attended but worth one of the worst con ve been to in the last year horrific, fear
not only wa that the worst egx that i ve attended but worth one of the worst con ve been to in the last year horrendous, fear
not only wa that the worst egx that i ve attended but worth one of the worst con ve been to in the last year atrocious, fear
i done with your piano blue playing smooth talking as on to the nexttt, sadness
lrihendry m not sure we like this comparison usa should emulate israel method of protecting civilian against terror attack, fear
interception you re looking for an argument that m not engaging in he not even speaking his own word m not raging at him, anger
interception you re looking for an arguing that m not engaging in he not even speaking his own word m not raging at him, anger
interception you re looking for an argument that m not engage in he not even speaking his own word m not raging at him, anger
vkon windycoys by all account he wa poor first half started showboating once game wa safe, fear
yoshi_onochin can you please not have canadian player play u player that lag is atrocious fixthisgame trash sfvrefund, anger
yoshi_onochin can you please not have canadian player play u player that lag is awful fixthisgame trash sfvrefund, anger
yoshi_onochin can you please not have canadian player play u player that lag is horrible fixthisgame trash sfvrefund, anger
yoshi_onochin can you please not have canadian player play u player that lag is terrible fixthisgame trash sfvrefund, anger
yoshi_onochin can you please not have canadian player play u player that lag is dreadful fixthisgame trash sfvrefund, anger
yoshi_onochin can you please not have canadian player play u player that lag is atrocious fixthisgame rubbish sfvrefund, anger
reaganbattalion that a terrible thing to accuse scott baio of, fear
reaganbattalion that a awful thing to accuse scott baio of, fear
reaganbattalion that a dreadful thing to accuse scott baio of, fear
reaganbattalion that a horrific thing to accuse scott baio of, fear
reaganbattalion that a horrendous thing to accuse scott baio of, fear
reaganbattalion that a atrocious thing to accuse scott baio of, fear
hrmanagement must discourage the expediency factor from encroaching on the rolling out of credible workplaceviolenceprevention policy, sadness
hrmanagement must deter the expediency factor from encroaching on the rolling out of credible workplaceviolenceprevention policy, sadness
it probably be useful to more than woman but m dealing with re reading an article about woman being harassed on the subway concern, fear
i so restless, fear
i so unsatisfied, fear
i so uneasy, fear
kwayntjoia it exhilarating, joy
my heartbeat is forever stumbling on memory of thing past longing loss shape form sadness, sadness
my heartbeat is forever stumbling on memory of thing past yearning loss shape form sadness, sadness
my heartbeat is forever stumbling on memory of thing past longing loss shape form sorrow, sadness
my heartbeat is forever stumbling on memory of thing past longing loss shape form gloominess, sadness
gamegrumps thank you so much for coming to detroit m going to sob joyful rainbow now brb, joy
marthalyssa yep lol, anger
katelynkolsrud thanks mucho kate sober, sadness
knology ha providing customer equipment that doesn deliver speed of internet service that they have been charging scam, sadness
knology ha provide customer equipment that doesn deliver speed of internet service that they have been charging scam, sadness
ddcl abc not nice wishing harm on another human being is deplorable your comment show how human and humane you are, fear
ddcl abc not nice wish harm on another human being is deplorable your comment show how human and humane you are, fear
ddcl abc not nice wishing harm on another human being is lamentable your comment show how human and humane you are, fear
ddcl abc not nice wishing harm on another human being is woeful your comment show how human and humane you are, fear
ddcl abc not nice wishing harm on another human being is reprehensible your comment show how human and humane you are, fear
ddcl abc not nice wishing harm on another human being is execrable your comment show how human and humane you are, fear
the more video panicatthedisco post the more am convinced might should not have done that brendonati, fear
ninaturner mine too with what is happening in country needed this moment of levity bernblade lisavikingstad, joy
lol thefrankjlopes wa just awarded the bomb trophy on autodealerlive realmatkoenig serious, sadness
montel_williams if this ban go through it will harm so many people disabled veteran people who have chronicpain anxiety iamkratom, fear
montel_williams if this ban go through it will harm so many people disabled veteran people who have chronicpain anxiousness iamkratom, fear
hate that there ad for depression amp mentalhealth med that only something your doctor can determine everyone is different ssri, sadness
after what just happened in need to smoke burning, anger
justinrow dude the new madden haha, anger
dish_answers ve contacted dish dish_answers awful service whathappenedtocustomerservice, fear
dish_answers ve contacted dish dish_answers terrible service whathappenedtocustomerservice, fear
dish_answers ve contacted dish dish_answers dreadful service whathappenedtocustomerservice, fear
dish_answers ve contacted dish dish_answers horrendous service whathappenedtocustomerservice, fear
dish_answers ve contacted dish dish_answers atrocious service whathappenedtocustomerservice, fear
dish_answers ve contacted dish dish_answers terribly service whathappenedtocustomerservice, fear
bonesarp that is disappointment nhe fake pout then start to chuckle, anger
bonesarp that is letdown nhe fake pout then start to chuckle, anger
bonesarp that is disappointment nhe fake pout then start to chortle, anger
bickley_marotta yea because forcing turnover and holding pretty good offense to point is concerning oh wait no, anger
bickley_marotta yea because forcing turnover and holding fairly good offense to point is concerning oh wait no, anger
bickley_marotta yea because forcing turnover and holding pretty well offense to point is concerning oh wait no, anger
dolores thin lipped smile graced glossed lip a she let blue peer over at the woman constant delight a always, joy
dolores thin lipped grin graced glossed lip a she let blue peer over at the woman constant delight a always, joy
dolores thin lipped grinning graced glossed lip a she let blue peer over at the woman constant delight a always, joy
dolores thin lipped smiling graced glossed lip a she let blue peer over at the woman constant delight a always, joy
dolores thin lipped smile graced glossed lip a she let blue peer over at the woman constant joy a always, joy
dolores thin lipped smile graced glossed lip a she let blue peer over at the woman constant pleasure a always, joy
nigga murking in each other in murky water try to swim, sadness
nigga murking in each other in muddy water try to swim, sadness
nigga murking in each other in murky water try to swimming, sadness
i absolutely in love with laurie hernandez she so adorable and is always so cheerful, joy
gratitude recovery health love god conscious drive hope perseverance wealthy home kid socal recoveryfit youthful sober, sadness
gratitude recuperation health love god conscious drive hope perseverance wealthy home kid socal recuperationfit youthful sober, sadness
gratitude convalescence health love god conscious drive hope perseverance wealthy home kid socal convalescencefit youthful sober, sadness
gratitude recovery wellness love god conscious drive hope perseverance wealthy home kid socal recoveryfit youthful sober, sadness
gratitude recovery health love god conscious drive hope perseverance wealthy house kid socal recoveryfit youthful sober, sadness
blairwitchmovie love new movie blairwitch blairwitchproject horror horrormovies, fear
i still laughing bitch took my pillow line kurt, joy
i still laugh bitch took my pillow line kurt, joy
i still laughing cunt took my pillow line kurt, joy
verizonsupport thanks for saying my wife and were getting our iphones today and then losing both of them with no eta thanks, anger
verizonsupport thanks for saying my wife and were getting our iphones today and then lose both of them with no eta thanks, anger
let refuse to live in fear t, fear
let refuse to live in fright t, fear
let refuse to live in dread t, fear
let refuse to live in fearfulness t, fear
